USNEWS美国大学2025计算机科学排名(本科),,,,
计算机科学排名,综合排名,学校,英文名,所在州
126,392,科罗拉多大学斯普林司分校,University of Colorado--Colorado Springs,科罗拉多州
126,152,肯塔基大学,University of Kentucky,肯塔基州
126,244,麻省大学达特茅斯分校,University of Massachusetts-Dartmouth,马萨诸塞州
126,152,罗德岛大学,University of Rhode Island,罗得岛州
126,121,南卡罗来纳大学,University of South Carolina-Columbia,南卡罗来纳州
126,91,南佛罗里达大学,University of South Florida-Main Campus,佛罗里达州
126,231,德克萨斯大学阿灵顿分校,University of Texas-Arlington,德克萨斯州
126,58,维拉诺瓦大学,Villanova University,宾夕法尼亚州
145,91,贝勒大学,Baylor University,德克萨斯州
145,98,佛罗里达国际大学,Florida International University,佛罗里达州
145,196,佐治亚州立大学,Georgia State University,佐治亚州
145,-,格林内尔学院,Grinnell College,爱荷华州
145,196,俄克拉荷马州立大学,Oklahoma State University-Main Campus,俄克拉荷马州
145,91,南卫理公会大学,Southern Methodist University,德克萨斯州
145,244,阿拉巴马大学汉茨维尔分校,University of Alabama--Huntsville,阿拉巴马州
145,171,夏威夷大学马诺阿分校,University of Hawaii at Manoa,夏威夷州
145,144,休斯敦大学,University of Houston,德克萨斯州
145,259,缅因大学,University of Maine,缅因州
145,214,马萨诸塞大学波士顿分校,University of Massachusetts-Boston,马萨诸塞州
145,63,迈阿密大学,University of Miami,佛罗里达州
145,109,新罕布什尔大学,University of New Hampshire-Main Campus,新罕布什尔州
145,231,德克萨斯大学圣安东尼奥分校,University of Texas-San Antonio,德克萨斯州
145,121,佛蒙特大学,University of Vermont,佛蒙特州
145,259,犹他州立大学,Utah State University,犹他州
145,-,卫斯理大学,Wesleyan University,康涅狄格州
162,296,博伊西州立大学,Boise State University,爱达荷州
162,-,卡尔顿学院,Carleton College,明尼苏达州
162,91,洛约拉马利蒙特大学,Loyola Marymount University,加利福尼亚州
162,86,马凯特大学,Marquette University,威斯康星州
162,204,旧金山州立大学,San Francisco State University,加利福尼亚州
162,121,纽约州立大学奥尔巴尼分校,SUNY at Albany,纽约州
162,244,科罗拉多大学丹佛分校,University of Colorado Denver,科罗拉多州
162,179,爱达荷大学,University of Idaho,爱达荷州
162,-,路易斯安那大学拉法叶分校,University of Louisiana at Lafayette,路易斯安那州
162,-,内布拉斯加大学奥马哈分校,University of Nebraska at Omaha,内布拉斯加州
162,109,旧金山大学,University of San Francisco,加利福尼亚州
162,315,威斯康星大学密尔沃基分校,University of Wisconsin--Milwaukee,威斯康星州
162,136,弗吉尼亚联邦大学,Virginia Commonwealth University,弗吉尼亚州
162,179,韦恩州立大学,Wayne State University,密歇根州
162,220,西弗吉尼亚大学,West Virginia University,西弗吉尼亚州
177,121,纽约市立大学城市学院,CUNY--City College,纽约州
177,132,芝加哥洛约拉大学,Loyola University Chicago,伊利诺伊州
177,214,密西西比州立大学,Mississippi State University,密西西比州
177,296,欧道明大学,Old Dominion University,弗吉尼亚州
177,259,波特兰州立大学,Portland State University,俄勒冈州
177,80,罗格斯大学纽瓦克分校,Rutgers University-Newark,新泽西州
177,288,田纳西理工大学,Tennessee Technological University,田纳西州
177,136,阿拉巴马大学伯明翰分校,University of Alabama at Birmingham,阿拉巴马州
177,179,路易斯维尔大学,University of Louisville,肯塔基州
177,152,马萨诸塞大学洛威尔分校,University of Massachusetts-Lowell,马萨诸塞州
177,171,密西西比大学,University of Mississippi,密西西比州
177,244,内华达大学拉斯维加斯分校,University of Nevada--Las Vegas,内华达州
177,220,北德克萨斯大学,University of North Texas,德克萨斯州
177,266,德克萨斯大学埃尔帕索分校,University of Texas--El Paso,德克萨斯州
177,179,塔尔萨大学,University of Tulsa,俄克拉荷马州
177,220,怀俄明大学,University of Wyoming,怀俄明州
193,136,加州州立大学富尔顿分校,California State University-Fullerton,加利福尼亚州
193,-,加州州立大学长滩,California State University-Long Beach,加利福尼亚州
193,-,南卡罗来纳州城堡军事学院,Citadel Military College of South Carolina,南卡罗来纳州
193,152,克拉克森大学,Clarkson University,纽约州
193,165,德保罗大学,DePaul University,伊利诺伊州
193,189,佛罗里达大西洋大学,Florida Atlantic University,佛罗里达州
193,196,霍夫斯特拉大学,Hofstra University,纽约州
193,196,印第安纳大学普渡大学印第安纳波利斯分校,Indiana University-Purdue University-Indianapolis,印第安纳州
193,392,肯尼索州立大学,Kennesaw State University,佐治亚州
193,296,路易斯安那理工大学,Louisiana Tech University,路易斯安那州
193,-,密尔沃基工学院,Milwaukee School of Engineering,威斯康星州
193,296,蒙大拿州立大学,Montana State University,蒙大拿州
193,-,霍利奥克山学院,Mount Holyoke College,马萨诸塞州
193,244,新墨西哥州立大学,New Mexico State University-Main Campus,新墨西哥州
193,179,俄亥俄大学,Ohio University-Main Campus,俄亥俄州
193,136,戴顿大学,University of Dayton,俄亥俄州
193,121,丹佛大学,University of Denver,科罗拉多州
193,266,孟菲斯大学,University of Memphis,田纳西州
193,-,密歇根州迪尔伯恩大学,University of Michigan-Dearborn,密歇根州
193,-,波多黎各，马亚圭斯大学,University of Puerto Rico-Mayaguez,波多黎各
193,296,威奇托州立大学,Wichita State University,堪萨斯州
214,-,鲍登学院,Bowdoin College,缅因州
214,-,杨百翰大学，爱达荷,Brigham Young University-Idaho,爱达荷州
214,-,科尔比学院,Colby College,缅因州
214,-,科尔盖特大学,Colgate University,纽约州
214,-,安柏瑞德航空航天大学 - 代托纳比奇,Embry-Riddle Aeronautical University-Daytona Beach,佛罗里达州
214,152,佛罗里达农工大学,Florida A&M University,佛罗里达州
214,231,佛罗里达理工学院,Florida Institute of Technology,佛罗里达州
214,91,福特汉姆大学,Fordham University,纽约州
214,98,冈萨加大学,Gonzaga University,华盛顿州
214,-,爱达荷州立大学,Idaho State University,爱达荷州
214,-,詹姆斯·麦迪逊大学,James Madison University,弗吉尼亚州
214,-,洛约拉大学马里兰,Loyola University Maryland,马里兰州
214,136,迈阿密大学牛津,Miami University-Oxford,俄亥俄州
214,-,明德学院,Middlebury College,佛蒙特州
214,-,纽约理工学院,New York Institute of Technology,纽约州
214,-,北卡罗莱纳农工州立大学,North Carolina A & T State University,北卡罗来纳州
214,231,北达科他州立大学,North Dakota State University-Main Campus,北达科他州
214,-,奥伯林学院,Oberlin College,俄亥俄州
214,-,普渡大学韦恩堡分校,Purdue University Fort Wayne,印第安纳州
214,105,圣路易斯大学,Saint Louis University,密苏里州
214,288,南伊利诺斯大学卡本代尔分校,Southern Illinois University-Carbondale,伊利诺伊州
214,-,陶森大学,Towson University,马里兰州
214,244,密苏里大学堪萨斯分校,University of Missouri--Kansas City,密苏里州
214,-,田纳西大学查塔努加分校,The University of Tennessee-Chattanooga,田纳西州
214,-,瓦萨学院,Vassar College,纽约州
214,392,莱特州立大学,Wright State University-Main Campus,俄亥俄州
240,91,美利坚大学,American University,华盛顿特区
240,-,加州州立大学萨克拉门托,California State University-Sacramento,加利福尼亚州
240,-,加州州立大学 - 圣贝纳迪诺,California State University-San Bernardino,加利福尼亚州
240,-,戴维森学院,Davidson College,北卡罗来纳州
240,-,哈弗福德学院,Haverford College,宾夕法尼亚州
240,231,肯特州立大学,Kent State University at Kent,俄亥俄州
240,342,摩根州立大学,Morgan State University,马里兰州
240,98,罗格斯大学卡姆登分校,Rutgers University--Camden,新泽西州
240,-,南达科他州矿业技术,South Dakota School of Mines and Technology,南达科他州
240,392,德州农工大学科珀斯克里斯蒂分校,Texas A&M University--Corpus Christi,德克萨斯州
240,-,阿拉斯大学加安克雷奇分校,University of Alaska Anchorage,阿拉斯加州
240,392,阿肯色大学小石城分校,University of Arkansas--Little Rock,阿肯色州
240,204,内华达大学,University of Nevada-Reno,内华达州
240,-,纽黑文大学,University of New Haven,康涅狄格州
240,244,北达科他大学,University of North Dakota,北达科他州
240,-,弗吉尼亚军事学院,Virginia Military Institute,弗吉尼亚州
256,-,巴纳德学院,Barnard College,纽约州
256,-,布拉德利大学,Bradley University,伊利诺伊州
256,179,加州州立大学弗雷斯诺分校,California State University--Fresno,加利福尼亚州
256,-,加州州立大学 - 北岭,California State University-Northridge,加利福尼亚州
256,-,加州州立大学圣马科斯分校,California State University-San Marcos,加利福尼亚州
256,171,美国天主教大学,Catholic University of America,华盛顿特区
256,189,东卡罗来纳大学,East Carolina University,北卡罗来纳州
256,121,伊隆大学,Elon University,北卡罗来纳州
256,220,伊利诺伊州立大学,Illinois State University,伊利诺伊州
256,-,麦卡莱斯特学院,Macalester College,明尼苏达州
256,-,莫尔豪斯学院,Morehouse College,佐治亚州
256,244,北亚利桑那大学,Northern Arizona University,亚利桑那州
256,-,宾夕法尼亚州立大学哈里斯堡,Pennsylvania State University-Penn State Harrisburg,宾夕法尼亚州
256,152,西雅图大学,Seattle University,华盛顿州
256,266,南达科他州立大学,South Dakota State University,南达科他州
256,-,纽约州立大学理工学院,SUNY Polytechnic Institute,纽约州
256,392,田纳西州立大学,Tennessee State University,田纳西州
256,273,德克萨斯州立大学,Texas State University,德克萨斯州
256,388,阿拉斯加大学费尔班克斯分校,University of Alaska Fairbanks,阿拉斯加州
256,-,明尼苏达州德卢斯大学,University of Minnesota-Duluth,明尼苏达州
256,244,密苏里大学圣路易斯分校,University of Missouri--St. Louis,密苏里州
256,-,波特兰大学,University of Portland,俄勒冈州
256,273,南达科他大学,University of South Dakota,南达科他州
256,296,托莱多大学,University of Toledo,俄亥俄州
256,-,华盛顿大学-波塞尔,University of Washington-Bothell Campus,华盛顿州
281,204,鲍尔州立大学,Ball State University,印第安纳州
281,273,鲍林格林州立大学,Bowling Green State University-Main Campus,俄亥俄州
281,-,加州州立大学 - 贝克斯菲尔德,California State University-Bakersfield,加利福尼亚州
281,-,加州州立大学 - 奇科,California State University-Chico,加利福尼亚州
281,-,加州州立大学，蒙特雷湾,California State University-Monterey Bay,加利福尼亚州
281,132,克拉克大学,Clark University,马萨诸塞州
281,342,克利夫兰州立大学,Cleveland State University,俄亥俄州
281,-,查尔斯顿学院,College of Charleston,南卡罗来纳州
281,-,新泽西学院,The College of New Jersey,新泽西州
281,-,纽约市立大学布鲁克林学院,CUNY Brooklyn College,纽约州
281,342,佐治亚南方大学,Georgia Southern University,佐治亚州
281,-,拉法耶特学院,Lafayette College,宾夕法尼亚州
281,-,罗伦斯科技大学,Lawrence Technological University,密歇根州
281,315,奥克兰大学,Oakland University,密歇根州
281,266,佩斯大学,Pace University-New York,纽约州
281,359,普雷里维尤农工大学,Prairie View A&M University,德克萨斯州
281,179,昆尼皮亚克大学,Quinnipiac University,康涅狄格州
281,171,罗文大学,Rowan University,新泽西州
281,-,塔斯基吉大学,Tuskegee University,阿拉巴马州
281,392,新奥尔良大学,University of New Orleans,路易斯安那州
281,-,北卡罗来纳大学阿什维尔分校,University of North Carolina at Asheville,北卡罗来纳州
281,196,北卡罗来纳大学格林斯伯勒分校,University of North Carolina at Greensboro,北卡罗来纳州
281,342,南密西西比大学,University of Southern Mississippi,密西西比州
281,148,圣托马斯大学,University of St Thomas (MN),明尼苏达州
281,-,华盛顿大学塔科马校区,University of Washington-Tacoma Campus,华盛顿州
281,204,瓦尔帕莱索大学,Valparaiso University,印第安纳州
307,-,阿拉巴马州农工大学,Alabama A & M University,阿拉巴马州
307,-,阿巴拉契亚州立大学,Appalachian State University,北卡罗来纳州
307,-,加州州立大学 - 斯坦尼斯,California State University-Stanislaus,加利福尼亚州
307,-,加州州立理工大学洪堡分校,California State Polytechnic University-Humboldt,加利福尼亚州
307,259,中央密歇根大学,Central Michigan University,密歇根州
307,-,纽约市立大学亨特学院,CUNY Hunter College,纽约州
307,-,纽约市立大学皇后学院,CUNY Queens College,纽约州
307,273,汉普顿大学,Hampton University,弗吉尼亚州
307,-,凯特林大学,Kettering University,密歇根州
307,-,新墨西哥矿业及科技学院,New Mexico Institute of Mining and Technology,新墨西哥州
307,-,东北伊利诺斯州大学,Northeastern Illinois University,伊利诺伊州
307,273,北伊利诺伊大学,Northern Illinois University,伊利诺伊州
307,-,宾夕法尼亚州立大学-伊利学院比兰德,Pennsylvania State University-Penn State Erie-Behrend College,宾夕法尼亚州
307,-,普渡大学西北,Purdue University Northwest,印第安纳州
307,359,德克萨斯州农工大学金斯维尔分校,Texas A&M University--Kingsville,德克萨斯州
307,196,北卡罗来纳大学威尔明顿分校,University of North Carolina--Wilmington,北卡罗来纳州
307,136,太平洋大学,University of the Pacific,加利福尼亚州
307,-,西佛罗里达大学,University of West Florida,佛罗里达州
307,-,温特沃斯理工学院,Wentworth Institute of Technology,马萨诸塞州
307,288,西密歇根大学,Western Michigan University,密歇根州
307,-,泽维尔大学,Xavier University,俄亥俄州
328,-,艾柏林基督大学,Abilene Christian University,德克萨斯州
328,189,艾德菲大学,Adelphi University,纽约州
328,-,奥尔康州立大学,Alcorn State University,密西西比州
328,-,安吉洛州立大学,Angelo State University,德克萨斯州
328,-,阿肯色理工大学,Arkansas Tech University,阿肯色州
328,105,奥本大学,Auburn University,阿拉巴马州
328,-,奥古斯塔纳学院,Augustana College,伊利诺伊州
328,296,奥古斯塔大学,Augusta University,佐治亚州
328,273,奥罗拉大学,Aurora University,伊利诺伊州
328,-,奥斯汀皮艾州立大学,Austin Peay State University,田纳西州
328,392,巴里大学,Barry University,佛罗里达州
328,-,贝尔维尤学院,Bellevue College,华盛顿州
328,-,贝尔维尤大学,Bellevue University,内布拉斯加州
328,-,本特利大学,Bentley University,马萨诸塞州
328,-,鲍伊州立大学,Bowie State University,马里兰州
328,-,布里奇沃特州立大学,Bridgewater State University,马萨诸塞州
328,-,杨百翰大学夏威夷分校,Brigham Young University-Hawaii,夏威夷州
328,-,巴特勒大学,Butler University,印第安纳州
328,-,加利福尼亚浸会大学,California Baptist University,加利福尼亚州
328,-,加州路德大学,California Lutheran University,加利福尼亚州
328,-,加州州立大学 - 海峡群岛,California State University-Channel Islands,加利福尼亚州
328,-,加州州立大学多明格斯山,California State University-Dominguez Hills,加利福尼亚州
328,-,加州州立大学东湾,California State University-East Bay,加利福尼亚州
328,-,加尔文大学,Calvin University,密歇根州
328,-,国会科技大学,Capitol Technology University,马里兰州
328,-,锡达维尔大学,Cedarville University,俄亥俄州
328,-,中央康涅狄格州立大学,Central Connecticut State University,康涅狄格州
328,-,中央宾夕法尼亚大学,Central Penn College,宾夕法尼亚州
328,-,中央华盛顿大学,Central Washington University,华盛顿州
328,-,尚普兰学院,Champlain College,佛蒙特州
328,121,查普曼大学,Chapman University,加利福尼亚州
328,-,查尔斯顿南方大学,Charleston Southern University,南卡罗来纳州
328,-,基督教兄弟大学,Christian Brothers University,田纳西州
328,-,克里斯托弗纽波特大学,Christopher Newport University,弗吉尼亚州
328,-,克拉夫林大学,Claflin University,南卡罗来纳州
328,-,卡罗莱纳海岸大学,Coastal Carolina University,南卡罗来纳州
328,-,圣十字学院,College of the Holy Cross,马萨诸塞州
328,-,伍斯特学院,The College of Wooster,俄亥俄州
328,-,科罗拉多州梅萨大学,Colorado Mesa University,科罗拉多州
328,-,科罗拉多技术大学,Colorado Technical University-Colorado Springs,科罗拉多州
328,-,哥伦布州立大学,Columbus State University,佐治亚州
328,-,宾夕法尼亚联邦大学,Commonwealth University of Pennsylvania,-
328,-,康科迪亚大学 - 圣保罗,Concordia University-Saint Paul,明尼苏达州
328,-,康涅狄格学院,Connecticut College,康涅狄格州
328,-,史坦顿岛纽约市立大学学院,College of Staten Island CUNY,纽约州
328,-,纽约市立大学莱曼学院,CUNY Lehman College,纽约州
328,-,达科他州立大学,Dakota State University,南达科他州
328,-,达文波特大学,Davenport University,密歇根州
328,-,特拉华州立大学,Delaware State University,特拉华州
328,-,迪堡大学,DePauw University,印第安纳州
328,-,狄金森学院,Dickinson College,宾夕法尼亚州
328,-,迪哥朋理工学院,DigiPen Institute of Technology,华盛顿州
328,179,德雷克大学,Drake University,爱荷华州
328,-,德鲁大学,Drew University,新泽西州
328,-,东中央大学,East Central University,俄克拉荷马州
328,-,东康涅狄格州立大学,Eastern Connecticut State University,康涅狄格州
328,-,东肯塔基大学,Eastern Kentucky University,肯塔基州
328,-,东密歇根大学,Eastern Michigan University,密歇根州
328,-,东华盛顿大学,Eastern Washington University,华盛顿州
328,-,宾夕法尼亚州东部斯特劳斯堡大学,East Stroudsburg University of Pennsylvania,宾夕法尼亚州
328,315,东田纳西州立大学,East Tennessee State University,田纳西州
328,-,费尔菲尔德大学,Fairfield University,康涅狄格州
328,-,菲尔莱狄更斯大学大都会分校,Fairleigh Dickinson University-Metropolitan Campus,新泽西州
328,-,费耶特维尔州立大学,Fayetteville State University,北卡罗来纳州
328,-,菲奇堡州立大学,Fitchburg State University,马萨诸塞州
328,-,佛罗里达纪念大学,Florida Memorial University,佛罗里达州
328,-,佛罗里达理工大学,Florida Polytechnic University,佛罗里达州
328,-,南佛罗里达学院,Florida Southern College,佛罗里达州
328,-,弗罗斯特堡州立大学,Frostburg State University,马里兰州
328,244,甘农大学,Gannon University,宾夕法尼亚州
328,388,加德纳韦伯大学,Gardner-Webb University,北卡罗来纳州
328,-,乔治亚学院与州立大学,Georgia College & State University,佐治亚州
328,-,佐治亚西南州立大学,Georgia Southwestern State University,佐治亚州
328,-,葛底斯堡学院,Gettysburg College,宾夕法尼亚州
328,-,州长州立大学,Governors State University,伊利诺伊州
