program_name_en,category,program_id,university
MA Anthropological Research,社会学与社工,225b27cd-e731-48bb-9e38-5a9fc27b029e,The University of Manchester
MA Social Anthropology,社会学与社工,5dff0263-3053-497f-b8c9-7a3dfeed0b5f,The University of Manchester
MA Sociology,社会学与社工,d6e96adf-feb2-43fb-9447-ad3ed27f3f3c,The University of Manchester
MSc Social Research Methods and Statistics,社会学与社工,83eef086-cadf-4a2e-b6fb-c5b131c06c18,The University of Manchester
MA Social Work,社会学与社工,00272615-27e8-47ac-b7fe-07494cc86ce1,The University of Manchester
MSc Sociological Research,社会学与社工,9307a5ca-81f4-4601-b261-8895bb9bef18,The University of Manchester
"MA Social Change, Environment and Sustainability",社会学与社工,e3aa5e0f-ea17-42f1-935d-4ecffa134f67,The University of Manchester
"MSc Digital Trust, Society and Security",社会学与社工,4017bb5b-84c7-4238-89ce-f2d3090bb21b,The University of Manchester
Master of Social Work,社会学与社工,62cd7d1f-cade-4930-9fab-12c6c3ded8af,Monash University
MA in Sociology,社会学与社工,28b7ce5a-b930-4745-b7ff-11ecc5def551,Columbia University
MA in Political Science,社会学与社工,c08ec033-f155-4c25-bf42-cbff9cdab9cb,Columbia University
Master of Social Work,社会学与社工,855a1a04-af76-40e9-a3a2-7303b5b204c6,The University of Queensland
MA Social Science,社会学与社工,0d029538-78f0-4ffd-a0cf-a068328f6e09,The Hong Kong University of Science and Technology
Master of Social Work,社会学与社工,5a25ee3f-6ca2-4518-aa1b-458122914c75,"University of Michigan, Ann Arbor"
Master of Social Welfare,社会学与社工,50b3238a-77d0-48e1-8517-2cecfc6a5465,"University of California, Los Angeles"
MA in Social Research Methodology,社会学与社工,64fc5963-be49-426f-91f9-507a52581a37,"University of California, Los Angeles"
Master of Social Science,社会学与社工,0ade5106-cd70-4c61-a44e-3c44e3a782d8,"University of California, Los Angeles"
MSc Human Geography: Society and Space,社会学与社工,3640b52b-cdb1-4b91-8f1b-f70f88b91579,University of Bristol
MSc Social and Cultural Theory,社会学与社工,133769f4-0c8b-4d79-9234-3ff814bfd067,University of Bristol
MSc Social Science Research Methods (Politics),社会学与社工,cd204f52-0b0e-43a3-9598-57745d54ce22,University of Bristol
MSc Social Science Research Methods (Sociology),社会学与社工,d6f8690f-d619-4618-8f14-08aa78285940,University of Bristol
MSc Social Work,社会学与社工,e5b62024-b01c-420b-9c93-b94f8713569a,University of Bristol
MSc Social Work Research,社会学与社工,3b2b8f4c-4d70-4d92-a0db-51f316b8a44e,University of Bristol
MSc Socio-Legal Studies,社会学与社工,0aa351b7-f3ef-4572-a948-573dc42ab174,University of Bristol
MSc Sociology,社会学与社工,f916d220-bcc8-4c1c-a2b9-c04499781c5a,University of Bristol
MSc Social Science Research Methods (Management),社会学与社工,e5320b97-eb39-43b1-b7a4-6b9499870426,University of Bristol
MSc Global Development and Environment,社会学与社工,9342bcda-b243-4d25-94c0-10e51d1a3b87,University of Bristol
"MSc Society, Politics and Climate Change",社会学与社工,5fc857d2-d05f-498c-8dbf-6b9688fba3d7,University of Bristol
MSc Cultural and Social Anthropology:Applied Anthropology,社会学与社工,210a0a9a-36cb-4c60-baab-b67726b060fb,University of Amsterdam
MSc Medical Anthropology and Sociology,社会学与社工,bcf512eb-ab1d-4bb6-a4c5-f8db3f5e95d5,University of Amsterdam
MSc Sociology,社会学与社工,e5d66368-99b0-4ca3-bc47-8fec1c5ff9a7,University of Amsterdam
MSc Gender and Sexuality,社会学与社工,d4fd39c8-9ea4-4f81-b955-1d87ee6c1f49,University of Amsterdam
MA Social Policy and Social Development,社会学与社工,7a9f24ab-5390-448c-94ea-a9fc70a07545,The Hong Kong Polytechnic University
MA Marriage and Family Therapy,社会学与社工,b6231229-e845-41e0-949b-19de22fa953f,The Hong Kong Polytechnic University
MA in Human Development Research and Policy,社会学与社工,bed8affb-c981-480c-9e09-3efa650ec749,New York University
MS in Social Work,社会学与社工,b151cf60-cb02-4055-9f2f-a3f738f3d419,New York University
MSc Anthropology and Development,社会学与社工,0a82adf9-8077-438c-9c2a-b50a193c1891,The London School of Economics and Political Science
MSc Social Anthropology,社会学与社工,634125de-46c4-4710-94a0-ba70b8419daa,The London School of Economics and Political Science
MSc Social Research Methods,社会学与社工,50915cd7-d80c-4399-89ab-1131be3cfbe9,The London School of Economics and Political Science
MSc Criminal Justice Policy,社会学与社工,fb8a3e2c-6321-4dae-8345-5291dd03e2b9,The London School of Economics and Political Science
MSc Organisational and Social Psychology,社会学与社工,5a0a2be3-011a-4c23-950b-768ad547ccb7,The London School of Economics and Political Science
