大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,所属院系网址
"University of Michigan, Ann Arbor",MS,Applied Mathematics Master's Program,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/mathematics-master-s-degree.html,,
"University of Michigan, Ann Arbor",MS,Actuarial Mathematics Master's Program,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/mathematics-master-s-degree.html,,
"University of North Carolina, Chapel Hill",Ph.D,Mathematics,文理学院,,https://gradschool.sites.unc.edu/mathematics/,https://math.unc.edu/graduates/ph-d-requirements/,,
"University of North Carolina, Chapel Hill",MS,Mathematics,文理学院,,https://gradschool.sites.unc.edu/mathematics/,https://math.unc.edu/graduates/masters-requirements/,,
"University of North Carolina, Chapel Hill",MA,Mathematics,文理学院,,https://gradschool.sites.unc.edu/mathematics/,https://math.unc.edu/graduates/masters-requirements/,,
Georgetown University,PHD,PhD program in Applied Mathematics,文理研究生院,,https://grad.georgetown.edu/mathematics-and-statistics/#admissions-requirements,https://mathstat.georgetown.edu/phd-program/,,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,,
Emory University,PhD,Mathematics,研究生院,,https://math.emory.edu/graduate/admissions/,https://math.emory.edu/graduate/general-information/,,
Emory University,MS,Mathematics,研究生院,,https://math.emory.edu/graduate/admissions/,https://math.emory.edu/graduate/general-information/,,
University of Virginia,PHD,MATHEMATICS,文理研究生院,,https://graduate.as.virginia.edu/requirements,https://math.virginia.edu/graduate/,,
Carnegie Mellon University,Ph.D.,Pure and Applied Logic,人文与社会科学学院,,https://www.cmu.edu/dietrich/philosophy/graduate/graduate-application/index.html,https://www.cmu.edu/dietrich/philosophy/graduate/index.html,,
Carnegie Mellon University,Ph.D.,"Doctor of Philosophy in Algorithms, Combinatorics, and Optimization (ACO)",科学学院,,https://www.cmu.edu/math/grad/phd/admissions.html,https://www.cmu.edu/math/grad/phd/index.html,,
Carnegie Mellon University,Ph.D.,Doctor of Philosophy in Mathematical Sciences,科学学院,,https://www.cmu.edu/math/grad/phd/admissions.html,https://www.cmu.edu/math/grad/phd/index.html,,
Carnegie Mellon University,DAM,Doctor of Arts in Mathematical Sciences,科学学院,,https://www.cmu.edu/math/grad/phd/admissions.html,https://www.cmu.edu/math/grad/phd/index.html,,
Washington University in St. Louis,MS,Systems Science & Mathematics,工程学院,,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Systems-Science-Mathematics.html,,
Washington University in St. Louis,MS,Systems Science & Mathematics,工程学院,,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Systems-Science-Mathematics.html,,
Washington University in St. Louis,PHD,Project Management,工程学院,,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/doctoral/PhD-in-Systems-Science-Mathematics.html,,
Washington University in St. Louis,DSc,Project Management,工程学院,,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/doctoral/DSc-in-Systems-Science-Mathematics.html,,
Washington University in St. Louis,PHD,Mathematics ,文理学院,,https://math.wustl.edu/graduate-application-information,https://math.wustl.edu/graduate-degree-programs-requirements,,
Washington University in St. Louis,MA,Mathematics ,文理学院,,https://math.wustl.edu/graduate-application-information,https://math.wustl.edu/graduate-degree-programs-requirements,,
University of Florida,MS,Mathematics,文理学院,,https://math.ufl.edu/graduate-studies-in-mathematics/admission-to-the-mathematics-graduate-program/,https://math.ufl.edu/graduate-studies-in-mathematics/,,
University of Florida,PHD,Mathematics,文理学院,,https://math.ufl.edu/graduate-studies-in-mathematics/admission-to-the-mathematics-graduate-program/,https://math.ufl.edu/graduate-studies-in-mathematics/,,
University of Florida,MS,Applied Mathematics,文理学院,,https://math.ufl.edu/graduate-studies-in-mathematics/admission-to-the-mathematics-graduate-program/,https://math.ufl.edu/graduate-studies-in-mathematics/,,
"University of California, Davis",MS,Applied Mathematics,文学与科学学院,,https://www.math.ucdavis.edu/grad/apply,https://appliedmath.ucdavis.edu/graduate,,
"University of California, Davis",PHD,Applied Mathematics,文学与科学学院,,https://www.math.ucdavis.edu/grad/apply,https://appliedmath.ucdavis.edu/graduate,,
"University of California, Davis",MA,Mathematics,文学与科学学院,,https://www.math.ucdavis.edu/grad/apply,https://www.math.ucdavis.edu/grad/gpc,,
"University of California, Davis",PHD,Mathematics,文学与科学学院,,https://www.math.ucdavis.edu/grad/apply,https://www.math.ucdavis.edu/grad/gpc,,
"University of California, San Diego",Ph.D,"Computational Science, Mathematics and Engineering",物理科学部,,https://csme.ucsd.edu/admission/index.html,https://csme.ucsd.edu/csme-phd/index.html,,
"University of California, San Diego",Ph.D,Ph.D. in Mathematics with a Specialization in Computational Science,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/phd-mathematics,,
"University of California, San Diego",Ph.D,Pure Mathematics,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/phd-mathematics,,
"University of California, San Diego",Ph.D,Applied Mathematics,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/phd-mathematics,,
"University of California, San Diego",MA,M.A. in Applied Mathematics,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/ma-applied-mathematics,,
