大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,专业类别
Georgetown University,M.S.,Master of Science in Data Science and Analytics,文理研究生院,The Graduate School of Arts & Sciences,https://grad.georgetown.edu/data-science-analytics/,https://analytics.georgetown.edu/,https://grad.georgetown.edu/,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,The Graduate School of Arts & Sciences,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,https://grad.georgetown.edu,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,The Graduate School of Arts & Sciences,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,https://grad.georgetown.edu,
Emory University,MS,Quantitative Theory and Methods,研究生院,Emory College of Arts and Sciences,https://quantitative.emory.edu/academics/masters/Who-Should-Apply.html,https://quantitative.emory.edu/academics/masters/index.html,https://college.emory.edu/,
University of Virginia,PHD,Data Analytics and Decision Science,达顿商学院,Darden School of Business,https://www.darden.virginia.edu/phd/application-requirements,https://www.darden.virginia.edu/phd/data-analytics-and-decision-science,https://www.darden.virginia.edu,
University of Virginia,MSDS,Data Science,数据科学学院,School of Data Science,https://datascience.virginia.edu/msds/admissions,https://datascience.virginia.edu/degrees/msds-residential,https://datascience.virginia.edu,
University of Virginia,PHD,Data Science,数据科学学院,School of Data Science,https://datascience.virginia.edu/phd/admissions,https://datascience.virginia.edu/degrees/phd,https://datascience.virginia.edu,
Carnegie Mellon University,MITS,Master of Information Technology Strategy (MITS),人文与社会科学学院,Carnegie Mellon Institute for Strategy & Technology,https://www.cmu.edu/cmist/academics/graduate-programs/mits/mits-admissions.html,https://www.cmu.edu/cmist/academics/graduate-programs/msirp/index.html,https://www.cmu.edu/cmist/,
Carnegie Mellon University,MADS,Master of Science in Applied Data Science (MADS),人文与社会科学学院,Dietrich College of Humanities and Social Sciences,https://www.cmu.edu/dietrich/statistics-datascience/academics/mads/how-to-apply.html,https://www.cmu.edu/dietrich/statistics-datascience/academics/mads/index.html,https://www.cmu.edu/dietrich/,
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,Heinz College,https://www.heinz.cmu.edu/admissions/information-systems-management/,https://www.heinz.cmu.edu/programs/information-systems-management-master/,https://www.heinz.cmu.edu,
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,Heinz College,https://www.heinz.cmu.edu/admissions/information-systems-management/,https://www.heinz.cmu.edu/programs/information-systems-management-master/,https://www.heinz.cmu.edu,
Carnegie Mellon University,MS,MS in DATA ANALYTICS FOR SCIENCE,科学学院,Mellon College of Science,https://www.cmu.edu/mcs/grad/programs/ms-data-analytics/application-process.html,https://www.cmu.edu/mcs/grad/programs/ms-data-analytics/index.html,https://www.cmu.edu/mcs/,
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,School of Computer Science,https://mcds.cs.cmu.edu/apply-mcds-program,https://mcds.cs.cmu.edu/learn-us-requirements,https://www.cs.cmu.edu,
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,School of Computer Science,https://mcds.cs.cmu.edu/apply-mcds-program,https://mcds.cs.cmu.edu/learn-us-requirements,https://www.cs.cmu.edu,
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,McKelvey School of Engineering,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,https://engineering.wustl.edu,
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,McKelvey School of Engineering,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,https://engineering.wustl.edu,
Washington University in St. Louis,PHD,Computational & Data Sciences ,工程学院,McKelvey School of Engineering,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://datasciences.wustl.edu/,https://engineering.wustl.edu,
