大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,所属院系（英文）
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,
New York University,Ph.D,Data Science ,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/phd-curriculum/,
New York University,MS,Data Science ,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-curriculum/,
New York University,MS,Data Science （Industry Concentration）,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-industry-concentration/,
New York University,MS,MS in Data Analytics & Business Computing,商学院,https://stern.shanghai.nyu.edu/en/admissions/ms-data-analytics-and-business-computing/application-checklist,https://stern.shanghai.nyu.edu/en/program/ms-data-analytics-business-computing,
"University of Wisconsin, Madison",M.S.,MS – Data Engineering,文理学院,https://guide.wisc.edu/graduate/computer-sciences/data-engineering-ms/#admissionstext,https://www.cs.wisc.edu/our-graduate-degrees-programs/,
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/,
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/,
"University of Wisconsin, Madison",MS,Data Science,文理学院,https://guide.wisc.edu/graduate/statistics/data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/ms-datascience/,
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,https://cee.illinois.edu/admissions/graduate/admission-requirements-and-process,https://cee.illinois.edu/academics/graduate-programs/ms-degree-and-curriculum,
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,https://cee.illinois.edu/admissions/graduate/admission-requirements-and-process,https://cee.illinois.edu/academics/graduate-programs/ms-degree-and-curriculum,
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,https://ise.illinois.edu/graduate/admissions/international-applicants,https://ise.illinois.edu/graduate/degrees-and-programs/advanced-analytics-concentration,
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,https://ise.illinois.edu/graduate/admissions/international-applicants,https://ise.illinois.edu/graduate/degrees-and-programs/advanced-analytics-concentration,
"University of Illinois, Urbana-Champaign",,Data Science & Engineering (DSE),工程学院,,https://cse.illinois.edu/cse-educational-programs/dse-graduate-concentration/,
"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management/apply,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management,
"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management/apply,https://ischool.illinois.edu/degrees-programs/graduate/ms-information-management,
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,https://stat.illinois.edu/academics/graduate-programs/ms-statistics-analytics,
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,https://stat.illinois.edu/admissions/prospective-graduate-students/application-requirements,https://stat.illinois.edu/academics/graduate-programs/ms-statistics-analytics,
Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,
Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,
Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,https://www.bc.edu/content/bc-web/schools/wcas/graduate/masters-programs/ms-applied-analytics.html,
University of Washington,MS,Data Science - Interdisciplinary Group (MS in Data Science) ,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-R-DATA-00-26,https://www.washington.edu/datasciencemasters/,
University of Washington,PHD,Mathematics (PhD) —Data Science Option,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-MATH-00-30,https://math.washington.edu/graduate-program,
University of Washington,PHD,Statistics (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd,
University of Washington,PHD,Statistics (PhD)-Machine Learning and Big Data,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd,
University of Washington,MS,Statistics - (MS - Advanced Methods & Data Analysis - Fulltime) ,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-20-25,https://stat.uw.edu/academics/graduate/programs/fulltimemasters,
"Rutgers University, New Brunswick",M.S.,MS in Information Technology and Analytics,商学院,https://www.business.rutgers.edu/masters-information-technology-analytics/admissions,https://www.business.rutgers.edu/masters-information-technology-analytics,
"Rutgers University, New Brunswick",M.S.,MS in Information Technology and Analytics,商学院,https://www.business.rutgers.edu/masters-information-technology-analytics/admissions,https://www.business.rutgers.edu/masters-information-technology-analytics,
"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,https://comminfo.rutgers.edu/graduate-programs/master-information/mi-admission,https://comminfo.rutgers.edu/graduate-programs/master-information,
"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,https://comminfo.rutgers.edu/graduate-programs/master-information/mi-admission,https://comminfo.rutgers.edu/graduate-programs/master-information,
"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,https://comminfo.rutgers.edu/graduate-programs/master-information/mi-admission,https://comminfo.rutgers.edu/graduate-programs/master-information,
"Rutgers University, New Brunswick",MS,Data Science  ,文理学院,https://msds-stat.rutgers.edu/msds-admissions/msds-adminfo2,https://msds-stat.rutgers.edu/,
"Rutgers University, New Brunswick",MS,Data Science  ,文理学院,https://msds-stat.rutgers.edu/msds-admissions/msds-adminfo2,https://msds-stat.rutgers.edu/,
"Rutgers University, New Brunswick",MBS,Business and Science - Computer and Information Sciences,文理学院,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?id=a501U0000004gG8QAI,https://mbs.rutgers.edu/personhybrid-mbs-concentrations,
"Rutgers University, New Brunswick",MBS,Business and Science - Computer and Information Sciences,文理学院,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?id=a501U0000004gG9QAI,https://mbs.rutgers.edu/personhybrid-mbs-concentrations,
Tufts University,MS,Data Analytics ,文理学院,https://asegrad.tufts.edu/program/data-analytics-masters,https://as.tufts.edu/dataanalytics/academics/masters-program,
Tufts University,MS,Data Science ,工程学院,https://asegrad.tufts.edu/program/data-science-masters,https://engineering.tufts.edu/datascience/academics/ms-data-science,
Tufts University,MS,Data Science ,工程学院,https://asegrad.tufts.edu/program/data-science-masters,https://engineering.tufts.edu/datascience/academics/ms-data-science,
Boston University,MS,Computer Science ：data-centric computing.,艺术与科学学院,https://www.bu.edu/cs/masters/admissions/,https://www.bu.edu/cs/masters/program/cs/,
Boston University,MS, Master of Science in Statistical Practice,艺术与科学学院,https://www.bu.edu/mssp/admission/,https://www.bu.edu/mssp/,
Boston University,MS,Data Analytics,工程学院,https://www.bu.edu/eng/admissions/graduate/graduate-admissions/application-deadlines-requirements/,https://www.bu.edu/eng/academics/explore-degree-programs/masters-degree-specializations/,
Boston University,PHD, PhD program in Computing & Data Sciences,计算与数据科学学院,https://www.bu.edu/cds-faculty/programs-admissions/phd-degree/,https://www.bu.edu/cds-faculty/programs-admissions/phd-degree/,
