大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,所属院系网址
University of Washington,PHD,Atmospheric Sciences (PhD)： DATA SCIENCE  TRACK,环境学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/,,
University of Washington,PHD,Atmospheric Sciences (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,环境学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/,,
University of Washington,PHD, PhD (Public Policy & Management) ： DATA SCIENCE  TRACK,公共政策与治理学院,,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/,,
University of Washington,PHD, PhD (Public Policy & Management) ：ADVANCED DATA SCIENCE (ADS) TRACK,公共政策与治理学院,,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/,,
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/,,
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/,,
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,,
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,,
Tufts University,PHD,Nutrition Epidemiology and Data Science,营养科学与政策学院,,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,,
"Purdue University, West Lafayette",MS,Geodata Science,理学院,,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html,,
"Purdue University, West Lafayette",MS,Geodata Science,理学院,,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html,,
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html,,
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html,,
"University of Maryland, College Park",MS,M.S. in Applied Political Analytics,行为与社会科学学院,,https://gradschool.umd.edu/behavioralsocial-sciences/apan,https://gvpt.umd.edu/landingtopic/ms-applied-political-analytics,,
"University of Maryland, College Park",MS,Survey and Data Science,行为与社会科学学院,,https://gradschool.umd.edu/behavioralsocial-sciences/suds,https://jpsm.umd.edu/landingtopic/onsite-programs,,
"University of Maryland, College Park",PhD,Survey and Data Science,行为与社会科学学院,,https://gradschool.umd.edu/behavioralsocial-sciences/surv,https://jpsm.umd.edu/landingtopic/onsite-programs,,
Northeastern University（Boston）,MS,Data and Systems,工程学院,,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/,,
Northeastern University（Boston）,MS,Data and Systems,工程学院,,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/,,
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/,,
